Parameter,Mean,SD,Lower 95% HPD,Upper 95% HPD,MC error,q2.5,q25,q50,q75,q97.5
FCCALNI0A,-2374.0066787593341,96196.657450063911,-190334.41716624706,185030.16478770084,2682.879136221497,-197551.87591974411,-66424.674976708338,-455.3015814354294,62672.618023207848,181921.29297888305
FCCALNI0B,-0.85473556585771693,97.515193038554472,-184.83767812162961,189.29680665756348,2.5752585895065274,-194.33591843807963,-63.805512004152746,-0.88683333815160381,65.164876207250217,183.85230171808229
FCCALNI1A,2803.3294427738033,102373.224741855,-197665.77422603944,199427.12329001303,3122.7854533136024,-197665.77422603944,-64929.767909818867,4332.2633781584673,72490.034109220345,200016.23696170846
FCCALNI1B,-0.30400372845074725,100.86745898574964,-208.48096646032016,195.13789765005987,3.0906792084774342,-207.07574140276088,-65.263797547404721,2.0684522749303369,68.306388319507477,197.47653009678288
FCCALNI2A,-2073.3988972186171,99418.754190494801,-192219.25586510581,193407.65027872176,3007.2743602206651,-191361.86680532002,-68562.78778711363,-248.90079892113863,62507.688967602939,197551.674039526
FCCALNI2B,3.5771328244415002,104.59129752373219,-198.42007576399146,202.17287039532067,3.2459476096393254,-197.88000802961233,-67.397452827902327,4.6765435631000543,72.678578960914564,204.95836194250933
FCCALNI3A,-2435.4336038790725,99734.86335756343,-191614.35645006318,193095.92424855617,3083.9332820813988,-201093.81483486743,-67291.692833393434,-4164.5145946124685,62551.43404988019,187097.02463300456
FCCALNI3B,-0.25770804855714885,101.50231650938285,-197.03815234814167,185.90235005961955,2.8294496561947904,-190.66044258750776,-73.48827845310511,-1.4925270312869117,72.822952787355177,194.55618985098599
FCCBMAGNNI,0.84535934982127914,1.0405803687597106,0.0016036765486258098,2.6298169469013568,0.059356293923901224,0.024197405340925182,0.21701082759579982,0.51962306696407157,1.0525130567659109,3.5274006340420083
FCCTCALNI0,-366.04549750331125,1908.1357405512797,-3886.8091637238513,3476.5904097443008,65.840812474044526,-3875.9817904172387,-1705.0509040484922,-418.28625767786525,953.34139214334732,3531.5016867204959
FCCTCALNI1,142.6030645264739,1908.7955812797984,-3340.0157751441297,3953.2705920458661,54.423489585701553,-3540.8585903808853,-1120.2574535489066,100.2554725236655,1407.9513938960899,3858.0649592208301
L12UALNI_A,2428.8487963048856,103103.96472758325,-201713.3038993004,206138.3081949995,3249.1398467995341,-201405.93718062545,-66035.662047392194,1406.4303314892459,73458.381290563615,207739.61015174957
L12UALNI_B,1.7475204110489573,95.1190451374665,-188.30998833233085,192.47811652029287,3.0921485966416382,-192.85491495705304,-59.472843423989829,2.9068686765111238,62.058713290533539,192.47811652029287
